event,latency
user_msg_0_0,0.018621199997141957
user_msg_0_1,0.02549550001276657
user_msg_0_2,0.03024829999776557
user_msg_0_3,0.034735299996100366
user_msg_0_4,0.03782859997591004
user_msg_0_5,0.04075470002135262
user_msg_0_6,0.044543600000906736
user_msg_0_7,0.04862289997981861
user_msg_0_8,0.0511564000044018
user_msg_0_9,0.05457650002790615
user_msg_1_0,0.06916410004487261
user_msg_1_1,0.06720940000377595
user_msg_1_2,0.06565160001628101
user_msg_1_3,0.06414720002794638
user_msg_1_4,0.06255729997064918
user_msg_1_5,0.06096380000235513
user_msg_1_6,0.05945780000183731
user_msg_1_7,0.05797379999421537
user_msg_1_8,0.056476500001735985
user_msg_1_9,0.05489090003538877
user_msg_2_0,0.06939960003364831
user_msg_2_1,0.06754189997445792
user_msg_2_2,0.06599450000794604
user_msg_2_3,0.06449300004169345
user_msg_2_4,0.06290439999429509
user_msg_2_5,0.06130389997269958
user_msg_2_6,0.0598065999802202
user_msg_2_7,0.05831880000187084
user_msg_2_8,0.05670639994787052
user_msg_2_9,0.055285200010985136
user_msg_3_0,0.06974060001084581
user_msg_3_1,0.06794630002696067
user_msg_3_2,0.06640599999809638
user_msg_3_3,0.06490549998125061
user_msg_3_4,0.06330640002852306
user_msg_3_5,0.06171189999440685
user_msg_3_6,0.06022169999778271
user_msg_3_7,0.05872789997374639
user_msg_3_8,0.05705820000730455
user_msg_3_9,0.055592000018805265
user_msg_4_0,0.0700137999956496
user_msg_4_1,0.06826259999070317
user_msg_4_2,0.06673109997063875
user_msg_4_3,0.06523000000743195
user_msg_4_4,0.06355630001053214
user_msg_4_5,0.062033900001551956
user_msg_4_6,0.0605441999505274
user_msg_4_7,0.05905039998469874
user_msg_4_8,0.05728449998423457
user_msg_4_9,0.05587130005005747
user_msg_5_0,0.07025799999246374
user_msg_5_1,0.06853640003828332
user_msg_5_2,0.06701919995248318
user_msg_5_3,0.06551949999993667
user_msg_5_4,0.06384529999922961
user_msg_5_5,0.062328799976967275
user_msg_5_6,0.060839899990241975
user_msg_5_7,0.059344900015275925
user_msg_5_8,0.05755929998122156
user_msg_5_9,0.05616590002318844
user_msg_6_0,0.07050089997937903
user_msg_6_1,0.06883529998594895
user_msg_6_2,0.06732279999414459
user_msg_6_3,0.0658211000263691
user_msg_6_4,0.06414699996821582
user_msg_6_5,0.06262510002125055
user_msg_6_6,0.06114429997978732
user_msg_6_7,0.05964940000558272
user_msg_6_8,0.0578401000238955
user_msg_6_9,0.056624600023496896
user_msg_7_0,0.07091760000912473
user_msg_7_1,0.06929680000757799
user_msg_7_2,0.06779220001772046
user_msg_7_3,0.06629160000011325
user_msg_7_4,0.0645928000449203
user_msg_7_5,0.06309029995463789
user_msg_7_6,0.06160539999837056
user_msg_7_7,0.06011630001012236
user_msg_7_8,0.0582937000435777
user_msg_7_9,0.05666569998720661
memory_current,memory_peak
2600804,2633826
user_msg_0_0,0.018790800007991493
user_msg_0_1,0.025453399983234704
user_msg_0_2,0.029419500031508505
user_msg_0_3,0.033806399966124445
user_msg_0_4,0.03747899999143556
user_msg_0_5,0.04096660000504926
user_msg_0_6,0.04362700000638142
user_msg_0_7,0.04786639998201281
user_msg_0_8,0.0512068000389263
user_msg_0_9,0.05367209995165467
user_msg_1_0,0.06845449999673292
user_msg_1_1,0.06656040000962093
user_msg_1_2,0.06493229995248839
user_msg_1_3,0.06337829999392852
user_msg_1_4,0.061596899991855025
user_msg_1_5,0.060061900003347546
user_msg_1_6,0.058420099958311766
user_msg_1_7,0.05683740001404658
user_msg_1_8,0.0552460000035353
user_msg_1_9,0.053963900019880384
user_msg_2_0,0.06867090001469478
user_msg_2_1,0.06683359999442473
user_msg_2_2,0.06521260004956275
user_msg_2_3,0.06360509997466579
user_msg_2_4,0.0618790999869816
user_msg_2_5,0.0603160000173375
user_msg_2_6,0.05871170002501458
